,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
1098,01V,Jul,322.04986561005416,257.6387260774038,277.6742085555523,231.56857596268767,4239.647939882132,4664.196069348294,1088.7785126661006,11.6571,97.4,104.2,96.3,2019
1099,01V,Aug,324.5284882190581,265.5528222666236,267.70945617280967,221.3903523870535,3738.4941366206,4093.2993626202056,1036.7072427962355,11.6571,97.4,104.2,96.3,2019
1100,01V,Sep,310.4207515339272,244.72461628005985,261.81930927768593,216.466007199575,4084.8924689674095,4640.519511713891,1061.2416467217404,11.6571,97.4,104.2,96.3,2019
1101,01V,Oct,333.85977333530843,254.71492340764536,279.1208385811668,233.4483659816452,4877.971365090803,5359.99519606077,1080.3716190133052,11.6571,97.4,104.2,96.3,2019
1102,01V,Nov,391.9470231839666,275.3623357450817,291.4171937988898,246.5136320009484,4251.743572586664,4662.394592136981,1102.5898379528355,11.6571,97.4,104.2,96.3,2019
1103,01V,Dec,437.95997889574346,313.303729831302,304.082460398503,255.02346421466328,3670.123787219806,4070.995359051565,1101.8177762908442,11.6571,97.4,104.2,96.3,2019
1104,01W,Jan,347.4504013035806,275.1446057590359,276.7975258895997,223.6618516822877,3818.166299653471,4197.743295607791,285.5874771683652,29.2905,97.5,103.8,103.4,2019
1105,01W,Feb,311.8865409042716,253.4629759878818,247.2017139042492,198.60696575155225,3573.308751984432,3942.506956180331,262.1669141871938,29.2905,97.5,103.8,103.4,2019
1106,01W,Mar,317.9168839106483,277.7243172901326,259.44625572563933,208.0370038841394,3795.0530035335687,4185.247776582851,296.2052542633277,29.2905,97.5,103.8,103.4,2019
1107,01W,Apr,326.6396914766098,286.8378724203371,261.2845950275305,207.52923260007705,3601.201754835185,4023.625407555351,289.8550724637681,29.2905,97.5,103.8,103.4,2019
1108,01W,May,331.2256293077003,287.38219738545166,263.68459154567023,207.84425804978105,3708.779297041703,4107.133712295796,297.63916628258306,29.2905,97.5,103.8,103.4,2019
1109,01W,Jun,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377692,3404.380259811201,3795.769959543197,292.9960226011847,29.2905,97.5,103.8,103.4,2019
1110,01W,Jul,322.04986561005416,257.6387260774038,277.6742085555523,231.56857596268767,3937.4882641129375,4367.354603028285,308.90561786244683,29.2905,97.5,103.8,103.4,2019
1111,01W,Aug,324.5284882190582,265.5528222666236,267.70945617280967,221.3903523870535,3422.611426913162,3784.4693672009694,281.42230416005185,29.2905,97.5,103.8,103.4,2019
1112,01W,Sep,310.4207515339272,244.72461628005988,261.819309277686,216.46600719957505,3961.864768440279,4427.442344787559,293.1667264130008,29.2905,97.5,103.8,103.4,2019
1113,01W,Oct,333.8597733353085,254.71492340764536,279.1208385811668,233.4483659816452,4577.627558423379,5143.169286970177,303.0675474983356,29.2905,97.5,103.8,103.4,2019
1114,01W,Nov,391.94702318396673,275.36233574508174,291.4171937988898,246.5136320009484,4043.085642102388,4516.754579129752,303.6137996961472,29.2905,97.5,103.8,103.4,2019
1115,01W,Dec,437.9599788957435,313.30372983130206,304.08246039850303,255.02346421466328,3586.521227018999,3985.6267390450826,278.86174698281013,29.2905,97.5,103.8,103.4,2019
1116,01Y,Jan,347.4504013035805,275.1446057590359,276.79752588959974,223.66185168228768,4168.4106051979625,4581.570160185883,496.2146275408928,25.9948,98.35,102.55,102.25,2019
1117,01Y,Feb,311.8865409042716,253.4629759878818,247.2017139042492,198.60696575155225,3763.1757120654897,4137.712157816179,434.0098788988567,25.9948,98.35,102.55,102.25,2019
1118,01Y,Mar,317.9168839106483,277.7243172901326,259.44625572563933,208.0370038841394,3843.19171526613,4250.465477710926,502.4466431747888,25.9948,98.35,102.55,102.25,2019
